representation,N,rank,parameter_bytes,parameter_kib,peak_gpu_bytes,peak_gpu_mb
dense,8,0,2048,2.0,253701632,253.701632
cp,8,4,400,0.390625,39260672,39.260672
cp,8,8,800,0.78125,47100416,47.100416
cp,8,16,1600,1.5625,63100416,63.100416
cp,8,24,2400,2.34375,79101952,79.101952
cp,8,32,3200,3.125,95101952,95.101952
cp,8,48,4800,4.6875,127103488,127.103488
tt,8,2,256,0.25,37500928,37.500928
tt,8,4,768,0.75,47541248,47.541248
tt,8,8,2560,2.5,88704000,88.704
dense,16,0,16384,16.0,1781875200,1781.8752
cp,16,4,784,0.765625,53501440,53.50144
cp,16,8,1568,1.53125,56700416,56.700416
cp,16,16,3136,3.0625,72701952,72.701952
cp,16,24,4704,4.59375,88703488,88.703488
cp,16,32,6272,6.125,104705024,104.705024
cp,16,48,9408,9.1875,136708096,136.708096
tt,16,2,512,0.5,53500928,53.500928
tt,16,4,1536,1.5,57262080,57.26208
tt,16,8,5120,5.0,98308096,98.308096
tt,16,12,10752,10.5,165680128,165.680128
tt,16,16,18432,18.0,259055104,259.055104
dense,24,0,55296,54.0,5810943488,5810.943488
cp,24,4,1168,1.140625,69501440,69.50144
cp,24,8,2336,2.28125,69502976,69.502976
cp,24,16,4672,4.5625,82303488,82.303488
cp,24,24,7008,6.84375,98306560,98.30656
cp,24,32,9344,9.125,114308096,114.308096
cp,24,48,14016,13.6875,146312704,146.312704
tt,24,2,768,0.75,69500928,69.500928
tt,24,4,2304,2.25,69501952,69.501952
tt,24,8,7680,7.5,107913728,107.913728
tt,24,12,16128,15.75,175570944,175.570944
tt,24,16,27648,27.0,268673024,268.673024
tt,24,24,59904,58.5,530990080,530.99008
