representation,N,rank,runtime_ms,parameter_bytes
dense,8,0,0.2872449999813398,2048
cp,8,4,0.28239049993317167,400
cp,8,8,0.27421999993748614,800
cp,8,16,0.2760520001174882,1600
cp,8,24,0.2798209998218226,2400
cp,8,32,0.25398499997209,3200
cp,8,48,0.25451799979236966,4800
tt,8,2,0.311243999931321,256
tt,8,4,0.3091489998041652,768
tt,8,8,0.29952700015201117,2560
dense,16,0,1.468868999836559,16384
cp,16,4,0.2948739997918892,784
cp,16,8,0.2919304999977612,1568
cp,16,16,0.2589225000519946,3136
cp,16,24,0.25843899993560626,4704
cp,16,32,0.2552035000462638,6272
cp,16,48,0.2572590001364006,9408
tt,16,2,0.3293865001978702,512
tt,16,4,0.304649500094456,1536
tt,16,8,0.31984600013856834,5120
tt,16,12,0.32632700003887294,10752
tt,16,16,0.3116019997833064,18432
dense,24,0,4.500940000070841,55296
cp,24,4,0.2892670001983788,1168
cp,24,8,0.28655699998125783,2336
cp,24,16,0.2533345000301779,4672
cp,24,24,0.24739099990256364,7008
cp,24,32,0.24638950003463833,9344
cp,24,48,0.24893199997677584,14016
tt,24,2,0.3218000001652399,768
tt,24,4,0.30484600029012654,2304
tt,24,8,0.3079924999838113,7680
tt,24,12,0.2844179998646723,16128
tt,24,16,0.30202800007828046,27648
tt,24,24,0.5337319998943713,59904
