representation,N,rank,rmse_weights,parameter_count
cp,8,4,0.7240256071090698,100
cp,8,8,0.3034030497074127,200
cp,8,16,0.08700652420520782,400
cp,8,24,0.02254524640738964,600
cp,8,32,0.0069320714101195335,800
cp,8,48,2.3599965061293915e-05,1200
tt,8,2,1.029103398323059,64
tt,8,4,0.6229820251464844,192
tt,8,8,1.5208198078653368e-07,640
cp,16,4,0.24906419217586517,196
cp,16,8,0.12263087928295135,392
cp,16,16,0.04224054515361786,784
cp,16,24,0.021062752231955528,1176
cp,16,32,0.013154144398868084,1568
cp,16,48,0.005552881397306919,2352
tt,16,2,0.35533589124679565,128
tt,16,4,0.20912368595600128,384
tt,16,8,0.06968387961387634,1280
tt,16,12,0.0059760683216154575,2688
tt,16,16,8.975583654091679e-08,4608
cp,24,4,0.14304165542125702,292
cp,24,8,0.08235110342502594,584
cp,24,16,0.028404872864484787,1168
cp,24,24,0.017580624669790268,1752
cp,24,32,0.011969654820859432,2336
cp,24,48,0.005827666725963354,3504
tt,24,2,0.19112932682037354,192
tt,24,4,0.12765546143054962,576
tt,24,8,0.0491655059158802,1920
tt,24,12,0.01070377416908741,4032
tt,24,16,0.0005907627637498081,6912
tt,24,24,8.411246454897991e-08,14976
